City,Province,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Lethbridge, Alberta,461,457,471,481,517,514,510,513,531,525,524,543,556,578,638,626,638,643,649,678,753,822,853,847,877,867,866,904,922,941,938,982,1011,1052
Medicine Hat, Alberta,367,372,381,401,392,404,409,421,427,431,441,443,459,485,513,534,553,568,582,604,658,677,687,690,698,702,727,795,828,826,843,836,882,910
Red Deer, Alberta,444,449,454,483,511,511,521,526,515,519,520,556,580,601,638,646,647,646,667,734,848,878,850,818,823,867,938,967,1038,1018,1013,1034,1039,1037
Abbotsford-Mission, British Columbia,418,436,490,588,601,615,636,640,651,646,629,633,631,632,645,651,673,685,705,720,754,766,782,786,801,819,821,835,864,916,934,1022,1138,1153
Chilliwack, British Columbia,403,429,469,522,537,548,577,621,611,608,602,588,587,585,600,625,647,641,672,F,712,747,759,744,770,774,777,787,799,871,943,1029,1082,1111
Courtenay, British Columbia,359,375,408,462,523,530,559,572,593,587,574,569,552,541,541,548,560,576,598,615,654,706,722,774,785,799,F,819,832,876,885,942,1047,1136
Kelowna, British Columbia,418,444,452,511,554,586,624,633,634,644,640,638,641,645,663,680,696,723,754,799,845,967,897,897,922,926,970,979,1000,1064,1150,1267,1385,1391
Nanaimo, British Columbia,369,397,437,510,556,576,591,604,612,601,602,586,568,565,575,593,601,629,658,682,700,750,768,791,803,797,806,811,852,901,986,1093,1180,1280
Vancouver, British Columbia,590,624,700,751,754,771,788,815,828,848,856,869,871,892,918,955,962,986,1005,1047,1086,1125,1171,1196,1241,1263,1282,1313,1371,1453,1556,1651,1750,1793
Victoria, British Columbia,491,518,568,615,666,684,704,712,716,716,722,721,727,730,754,774,791,802,842,876,908,969,1004,1023,1045,1059,1065,1095,1127,1187,1288,1413,1452,1514
Whitehorse, Yukon,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
Yellowknife, Northwest Territories,..,..,..,..,..,..,..,..,..,..,..,1029,986,1007,1082,1122,1270,1284,1301,1366,1364,1413,1474,1486,1566,1642,1665,1672,1696,1631,1693,1694,1746,1769
