ID,DT_Dec,Year_Dec,Month_Dec,Day_Dec,DEC,Flag_Approved,Channel,Age,State,Income,Spend @M4,
6720,02/12/2022,2022,12,2,A,1,TMK,36,Nuevo Leon," 1,515 ", 902 ,
6721,09/12/2022,2022,12,9,A,1,ONLINE,41,," 3,030 ", 151 ,
6722,20/12/2022,2022,12,20,A,1,TMK,66,Nuevo Leon," 7,273 "," 3,952 ",
6723,09/12/2022,2022,12,9,A,1,TMK,85,," 1,327 "," 1,845 ",
6724,02/12/2022,2022,12,2,A,1,TMK,35,Ciudad de Mexico," 1,091 "," 1,245 ",
6725,13/12/2022,2022,12,13,A,1,ONLINE,34,Nayarit," 2,364 "," 4,919 ",
6726,20/12/2022,2022,12,20,A,1,TMK,46,Estado de Mexico," 2,891 ", 20 ,
6727,28/12/2022,2022,12,28,A,1,ONLINE,41,," 2,394 "," 2,389 ",
6728,02/12/2022,2022,12,2,A,1,TMK,38,Oaxaca," 3,636 ", 988 ,
6729,09/12/2022,2022,12,9,A,1,ONLINE,39,Nuevo Leon," 3,030 "," 12,495 ",
6730,10/12/2022,2022,12,10,A,1,TMK,49,Baja California Sur," 2,424 "," 1,172 ",
6731,20/12/2022,2022,12,20,A,1,TMK,51,Baja California," 1,939 ", 298 ,
6732,28/12/2022,2022,12,28,A,1,ONLINE,42,," 2,667 "," 2,931 ",
6733,02/12/2022,2022,12,2,A,1,TMK,37,Jalisco," 2,424 ", 648 ,
6734,09/12/2022,2022,12,9,A,1,ONLINE,37,, 970 , 24 ,
6735,28/12/2022,2022,12,28,A,1,ONLINE,35,Guanajuato," 1,212 "," 1,264 ",
6736,09/12/2022,2022,12,9,A,1,ONLINE,39,Jalisco," 1,212 ", 613 ,
6737,20/12/2022,2022,12,20,A,1,TMK,38,Yucatan," 5,758 ", 145 ,
6738,28/12/2022,2022,12,28,A,1,ONLINE,36,Puebla," 2,121 "," 1,202 ",
6739,02/12/2022,2022,12,2,A,1,TMK,38,Estado de Mexico," 3,333 "," 6,865 ",
6740,09/12/2022,2022,12,9,A,1,ONLINE,35,," 1,091 "," 1,655 ",
