Area,Province,ER_Name_Nom_RE,Low_Wage_Salaire_Minium,Median_Wage_Salaire_Median,High_Wage_Salaire_Maximal,Revision_Date_Date_revision
"Senior managers - health, education, social and community services and membership organizations",PE,Prince Edward Island,,,,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",NS,Nova Scotia,21.65,41.96,86.42,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",NS,Cape Breton,,,,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",NS,North Shore,,,,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",NS,Annapolis Valley,,,,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",NS,Southern,,,,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",NS,Halifax,23.24,47.36,94.59,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",NB,New Brunswick,,,,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",NB,Campbellton--Miramichi,,,,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",NB,Moncton--Richibucto,,,,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",NB,Saint John--St. Stephen,,,,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",NB,Fredericton--Oromocto,,,,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",NB,Edmundston--Woodstock,,,,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",QC,Québec,17.87,34.94,71.63,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",QC,Gaspésie--Îles-de-la-Madeleine,,,,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",QC,Bas-Saint-Laurent,,,,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",QC,Capitale-Nationale,17.54,39.31,71.73,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",QC,Chaudière-Appalaches,16.25,31.5,76.8,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",QC,Estrie,20.92,34.12,62.45,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",QC,Centre-du-Québec,,,,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",QC,Montérégie,17.72,37.15,69.22,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",QC,Montréal,17.25,37.74,82.37,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",QC,Laval,,,,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",QC,Lanaudière,18.72,38.05,64.38,2019-11-04
